label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
A2,-358.9737,119.80866,40.932995,21.534086,21.364962,9.703769,-4.0494366,0.16247585,12.306336,12.553651,3.359754,-5.1268024,-13.07477,74.42648,34.78649,23.638405,9.811964,8.781423,4.688649,6.881064,4.6393642,5.7009983,4.8078637,3.462519,4.0268145,3.5309072
A2,-241.31447,143.55772,-13.687451,25.193659,27.324558,4.4883986,-8.7570095,-5.4680433,6.330575,10.3679905,-7.7476807,-24.921213,-21.9548,95.15903,29.200974,23.199408,18.348223,14.633685,4.4260287,7.0407963,5.4389434,4.7349124,4.8073955,5.174279,6.1302943,5.1232886
A2,-287.7271,112.19503,-5.926167,25.476748,21.19585,7.814377,-4.059661,-0.3422614,4.462231,0.17307644,-10.3994055,-16.160059,-11.772868,138.31459,44.09741,32.697533,15.326341,17.526266,5.79587,7.174114,4.5735927,6.1877503,5.6659946,7.504095,9.439848,5.5331635
A2,-247.97371,137.64363,-14.868905,24.124355,31.785557,5.8625536,-10.521667,-5.3875666,1.2320232,9.108186,0.32729405,-17.541693,-22.493868,96.925026,30.152998,24.82682,16.745499,14.438348,5.8874106,6.2889204,6.234721,5.60917,5.208595,4.1557627,6.3969116,7.146781
A3,-402.97238,110.38234,36.043114,18.894964,8.919961,5.4219728,1.4001746,-6.505684,-12.62895,-14.016735,-13.280086,-12.633726,-15.371217,74.372025,16.104523,24.055319,11.124372,5.7996187,4.596954,3.502999,4.6733007,4.4386253,4.004725,3.9133277,3.0744524,3.9352782
A3,-386.85004,125.68421,47.68544,27.137886,16.758871,11.552178,8.162244,2.7884684,-5.014942,-5.586729,-5.2003202,-8.650183,-9.24304,48.564316,19.326576,16.159296,8.680822,6.087955,4.941979,5.5273705,4.380222,4.4707155,3.2196457,3.5335321,4.303835,3.7747397
A3,-404.56137,117.25527,33.54203,18.106655,18.964405,14.610554,2.7382703,0.39069313,3.0740469,5.0262165,-1.3548633,-10.621085,-6.600287,71.00729,33.276405,12.125175,7.793806,8.206467,4.5691376,6.926964,7.0031714,5.7242756,4.076357,4.8074093,10.477172,6.52105
A3,-370.646,126.30846,14.532315,25.653254,31.43191,17.219587,6.2480054,2.9298198,-2.323103,-6.1022296,-10.084961,-8.49501,-8.330387,82.20436,14.712796,29.707697,17.960945,9.259574,8.138646,5.361212,6.9641595,4.6967587,3.7716913,6.040177,4.1062474,3.947671
A3,-344.96866,124.78387,2.8016675,27.290337,11.2396965,1.1960586,4.5679364,0.68209946,0.70305544,4.206182,-4.56576,-17.37724,-11.093041,86.32829,18.898445,22.599472,20.330402,12.896931,7.419236,6.43362,5.8805637,7.4788127,4.7289476,4.8212585,6.3575234,3.4571698
A3,-360.5297,109.046776,3.6198218,23.174532,10.320168,12.914238,4.1094265,0.97879285,6.007671,4.135218,-1.2265135,-7.073113,-13.094781,116.3828,27.873034,29.069181,18.790462,11.9867325,9.612439,5.799593,6.026995,6.322647,4.9558496,6.2274637,7.6984386,9.908133
A3,-353.48233,117.41963,-0.13848408,26.684673,14.961681,6.4563646,4.814969,-0.2665704,-0.29836625,3.2388732,5.381683,-13.1060705,-23.64948,98.024536,26.67005,21.270994,21.63214,13.148208,8.818921,5.5307918,5.6568236,8.245144,4.3406096,4.393289,6.4179354,5.8841124
A3,-369.82565,135.97546,21.325533,7.8862047,9.586599,5.743705,-5.714804,-0.8034954,4.77794,-6.667333,-10.138213,-9.210214,-16.276636,67.117256,17.215082,17.836496,11.144117,7.218653,6.396271,4.7921023,5.1532264,6.3935175,5.5233517,4.0565767,5.1250277,5.326754
A3,-387.94333,112.246666,15.628573,10.837375,12.968902,10.766421,1.5270895,-3.1629817,3.2851248,0.4637216,-6.7456574,-10.415149,-13.716686,87.08803,35.63604,16.485767,9.385184,7.392087,5.35677,5.987876,4.1614447,5.9284787,4.786892,7.177842,8.394664,9.8211
A3,-340.9727,110.3101,-5.711511,34.348186,12.8104725,-0.9904497,6.3985295,0.12598611,-4.6281385,5.950716,-0.5402818,-22.776667,-21.731045,101.40349,24.650126,22.238153,23.018225,10.077627,8.775228,6.78852,6.5017824,6.7621384,6.0291843,4.5714326,6.284917,5.505268
A3,-371.0742,98.65039,21.368866,18.135466,20.81644,13.998666,2.9080856,-3.8096113,-4.47043,-5.657011,-8.1620655,-12.033173,-11.626662,68.9015,13.970164,21.135435,12.594243,9.634728,5.080807,4.321647,4.279222,3.9649985,3.6172621,4.383188,3.8233159,6.704134
A3,-419.79517,100.10366,26.777494,16.559923,12.0692625,6.4636707,0.94652313,-5.330015,-6.718714,-6.4777412,-10.877952,-14.987407,-12.296005,81.63649,31.795546,23.839703,12.390987,8.026197,5.5345807,4.4310184,5.507261,6.178249,6.0082097,7.8272796,8.897106,6.5899544
A3,-401.95425,65.524315,9.354923,18.759434,15.301925,5.2081614,-1.5361536,-5.1748824,-8.031246,-8.4009695,-6.807535,-10.342743,-16.115688,91.83004,34.618652,18.311295,13.145362,11.466544,5.449016,6.231159,5.5383587,7.9481516,8.050677,6.0782475,7.4484425,11.140267
A3,-368.22604,100.80416,20.455914,18.448421,20.1471,12.704424,3.730051,-1.7031124,-4.777469,-4.768202,-7.6533155,-11.435549,-11.092758,70.752106,13.643492,24.825256,12.77889,12.190622,6.2400126,5.9747877,3.7605731,4.4169297,3.5352633,3.0864997,3.37679,5.8145733
A3,-380.3046,96.91185,26.333,19.979628,25.706371,14.589748,4.5639253,-0.8215379,-8.008672,-10.739387,-9.605675,-11.284139,-14.356486,56.10696,20.336601,18.519606,5.747732,10.167524,4.802447,4.5064836,4.9864283,3.2569892,5.22736,2.8716106,2.5207446,6.974225
A3,-404.41666,83.52127,18.903538,14.024965,17.44351,7.7549562,-1.5040435,-4.622607,-5.697059,-5.816119,-5.745105,-10.842972,-16.085892,78.25399,41.685345,16.090546,8.374513,8.187044,3.1578584,5.321204,6.3501425,6.410716,6.058897,4.694918,7.2499123,10.908202
A3,-360.0775,106.719604,9.434262,9.314213,11.447664,4.207324,0.047478586,-2.8837814,-9.974308,-17.193007,-18.40097,-16.206388,-13.682298,70.34981,11.351274,26.688498,15.597774,10.193492,7.4631166,6.9563155,5.4291987,3.6048234,6.223514,5.891522,3.2348995,6.3227844
